  c             	[2023-02-04 11:04:26]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	5	[COUNT]	1	[BUY]	[6-1-398-1]ThÇn bÝ kho¸ng th¹ch	[PLACE]	141
  c             	[2023-02-04 11:04:26]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	5	[COUNT]	1	[BUY]	[6-1-398-1]ThÇn bÝ kho¸ng th¹ch	[PLACE]	141
  c             	[2023-02-04 11:04:26]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	5	[COUNT]	1	[BUY]	[6-1-398-1]ThÇn bÝ kho¸ng th¹ch	[PLACE]	141
  c             	[2023-02-04 11:05:49]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	4	[COUNT]	1	[BUY]	[4-979-1-1]Kim Tª	[PLACE]	141
  c             	[2023-02-04 11:05:49]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	4	[COUNT]	1	[BUY]	[4-979-1-1]Kim Tª	[PLACE]	141
  c             	[2023-02-04 11:05:49]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	4	[COUNT]	1	[BUY]	[4-979-1-1]Kim Tª	[PLACE]	141
  c             	[2023-02-04 11:05:49]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	4	[COUNT]	1	[BUY]	[4-979-1-1]Kim Tª	[PLACE]	141
  c             	[2023-02-04 11:05:52]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	5	[COUNT]	1	[BUY]	[6-1-398-1]ThÇn bÝ kho¸ng th¹ch	[PLACE]	141
  c             	[2023-02-04 11:05:52]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	5	[COUNT]	1	[BUY]	[6-1-398-1]ThÇn bÝ kho¸ng th¹ch	[PLACE]	141
  c             	[2023-02-04 11:05:52]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	5	[COUNT]	1	[BUY]	[6-1-398-1]ThÇn bÝ kho¸ng th¹ch	[PLACE]	141
  c             	[2023-02-04 11:05:52]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	5	[COUNT]	1	[BUY]	[6-1-398-1]ThÇn bÝ kho¸ng th¹ch	[PLACE]	141
  c             	[2023-02-04 11:07:30]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	4	[COUNT]	1	[BUY]	[4-979-1-1]Kim Tª	[PLACE]	141
  c             	[2023-02-04 11:07:30]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	4	[COUNT]	1	[BUY]	[4-979-1-1]Kim Tª	[PLACE]	141
  c             	[2023-02-04 11:07:30]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	4	[COUNT]	1	[BUY]	[4-979-1-1]Kim Tª	[PLACE]	141
  c             	[2023-02-04 11:07:30]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	4	[COUNT]	1	[BUY]	[4-979-1-1]Kim Tª	[PLACE]	141
  c             	[2023-02-04 11:07:30]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	4	[COUNT]	1	[BUY]	[4-979-1-1]Kim Tª	[PLACE]	141
  c             	[2023-02-04 11:07:30]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	4	[COUNT]	1	[BUY]	[4-979-1-1]Kim Tª	[PLACE]	141
  c             	[2023-02-04 11:07:30]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	4	[COUNT]	1	[BUY]	[4-979-1-1]Kim Tª	[PLACE]	141
  c             	[2023-02-04 11:07:30]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	4	[COUNT]	1	[BUY]	[4-979-1-1]Kim Tª	[PLACE]	141
  c             	[2023-02-04 11:07:35]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	5	[COUNT]	1	[BUY]	[6-1-398-1]ThÇn bÝ kho¸ng th¹ch	[PLACE]	141
  c             	[2023-02-04 11:07:35]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	5	[COUNT]	1	[BUY]	[6-1-398-1]ThÇn bÝ kho¸ng th¹ch	[PLACE]	141
  c             	[2023-02-04 11:07:35]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	5	[COUNT]	1	[BUY]	[6-1-398-1]ThÇn bÝ kho¸ng th¹ch	[PLACE]	141
  c             	[2023-02-04 11:07:35]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	5	[COUNT]	1	[BUY]	[6-1-398-1]ThÇn bÝ kho¸ng th¹ch	[PLACE]	141
  c             	[2023-02-04 11:07:35]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	5	[COUNT]	1	[BUY]	[6-1-398-1]ThÇn bÝ kho¸ng th¹ch	[PLACE]	141
  c             	[2023-02-04 11:07:35]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	5	[COUNT]	1	[BUY]	[6-1-398-1]ThÇn bÝ kho¸ng th¹ch	[PLACE]	141
  c             	[2023-02-04 11:07:35]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	5	[COUNT]	1	[BUY]	[6-1-398-1]ThÇn bÝ kho¸ng th¹ch	[PLACE]	141
  c             	[2023-02-04 11:07:35]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	5	[COUNT]	1	[BUY]	[6-1-398-1]ThÇn bÝ kho¸ng th¹ch	[PLACE]	141
  c             	[2023-02-04 11:15:18]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-238-1-1]Lam Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:15:18]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-238-1-1]Lam Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:15:18]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-238-1-1]Lam Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:15:18]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-238-1-1]Lam Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:15:18]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-238-1-1]Lam Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:15:18]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-238-1-1]Lam Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:15:18]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-238-1-1]Lam Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:15:18]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-238-1-1]Lam Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:15:18]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-238-1-1]Lam Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:15:18]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-238-1-1]Lam Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:17:00]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-238-1-1]Lam Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:17:00]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-238-1-1]Lam Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:17:00]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-238-1-1]Lam Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:17:00]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-238-1-1]Lam Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:17:00]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-238-1-1]Lam Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:17:00]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-238-1-1]Lam Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:17:00]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-238-1-1]Lam Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:17:00]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-238-1-1]Lam Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:17:00]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-238-1-1]Lam Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:17:01]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-238-1-1]Lam Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:17:01]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-238-1-1]Lam Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:17:01]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-238-1-1]Lam Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:17:01]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-238-1-1]Lam Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:17:01]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-238-1-1]Lam Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:17:01]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-238-1-1]Lam Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:17:01]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-238-1-1]Lam Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:17:01]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-238-1-1]Lam Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:17:01]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-238-1-1]Lam Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:17:01]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-238-1-1]Lam Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:17:01]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-238-1-1]Lam Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:19:36]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	5	[COUNT]	1	[BUY]	[6-1-398-1]ThÇn bÝ kho¸ng th¹ch	[PLACE]	141
  c             	[2023-02-04 11:19:36]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	5	[COUNT]	1	[BUY]	[6-1-398-1]ThÇn bÝ kho¸ng th¹ch	[PLACE]	141
  c             	[2023-02-04 11:19:36]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	5	[COUNT]	1	[BUY]	[6-1-398-1]ThÇn bÝ kho¸ng th¹ch	[PLACE]	141
  c             	[2023-02-04 11:19:36]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	5	[COUNT]	1	[BUY]	[6-1-398-1]ThÇn bÝ kho¸ng th¹ch	[PLACE]	141
  c             	[2023-02-04 11:19:37]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	5	[COUNT]	1	[BUY]	[6-1-398-1]ThÇn bÝ kho¸ng th¹ch	[PLACE]	141
  c             	[2023-02-04 11:19:37]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	5	[COUNT]	1	[BUY]	[6-1-398-1]ThÇn bÝ kho¸ng th¹ch	[PLACE]	141
  c             	[2023-02-04 11:19:37]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	5	[COUNT]	1	[BUY]	[6-1-398-1]ThÇn bÝ kho¸ng th¹ch	[PLACE]	141
  c             	[2023-02-04 11:19:37]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	5	[COUNT]	1	[BUY]	[6-1-398-1]ThÇn bÝ kho¸ng th¹ch	[PLACE]	141
  c             	[2023-02-04 11:19:37]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	5	[COUNT]	1	[BUY]	[6-1-398-1]ThÇn bÝ kho¸ng th¹ch	[PLACE]	141
  c             	[2023-02-04 11:19:37]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	5	[COUNT]	1	[BUY]	[6-1-398-1]ThÇn bÝ kho¸ng th¹ch	[PLACE]	141
  c             	[2023-02-04 11:19:37]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	5	[COUNT]	1	[BUY]	[6-1-398-1]ThÇn bÝ kho¸ng th¹ch	[PLACE]	141
  c             	[2023-02-04 11:19:37]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	5	[COUNT]	1	[BUY]	[6-1-398-1]ThÇn bÝ kho¸ng th¹ch	[PLACE]	141
  c             	[2023-02-04 11:19:37]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	5	[COUNT]	1	[BUY]	[6-1-398-1]ThÇn bÝ kho¸ng th¹ch	[PLACE]	141
  c             	[2023-02-04 11:19:37]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	5	[COUNT]	1	[BUY]	[6-1-398-1]ThÇn bÝ kho¸ng th¹ch	[PLACE]	141
  c             	[2023-02-04 11:19:37]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	5	[COUNT]	1	[BUY]	[6-1-398-1]ThÇn bÝ kho¸ng th¹ch	[PLACE]	141
  c             	[2023-02-04 11:20:07]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-239-1-1]Tö Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:20:07]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-239-1-1]Tö Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:20:07]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-239-1-1]Tö Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:20:07]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-239-1-1]Tö Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:20:07]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-239-1-1]Tö Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:20:07]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-239-1-1]Tö Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:20:07]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-239-1-1]Tö Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:20:07]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-239-1-1]Tö Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:20:07]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-239-1-1]Tö Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:20:07]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-239-1-1]Tö Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:20:07]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-239-1-1]Tö Thñy Tinh	[PLACE]	141
  c             	[2023-02-04 11:20:07]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	2	[COUNT]	1	[BUY]	[4-239-1-1]Tö Thñy Tinh	[PLACE]	141
